institution,national_rank
Zhejiang Normal University,81
King Abdulaziz University,4
Iran University of Science and Technology,8
I-Shou University,23
University of Maine (Le Mans),50
National Dong Hwa University,24
National Taipei University of Technology,25
Shaanxi Normal University,82
National University of Defense Technology,83
Yanbian University,84
